Nama,Alamat,Titik Koordinat
Smash & Shake,Jl. Sulanjana No.1,"-6.900013579694198, 107.61193079325334"
Allure Cafe,Jl. L. L. R. E. Martadinata No.65,"-6.905377622829849, 107.61746296626654"
Hawayu Coffeeshop,Jl. Ranggagading No.8,"-6.902464969991166, 107.61048256441775"
Ucok Durian Asli Medan,Jl. Sultan Tirtayasa No. 24,"-6.903036876688981, 107.61388513558222"
Blackpepper Resto & Cafe,Jl. Maulana Yusuf No.10,"-6.9013413269447765, 107.61365142208886"
Icup Sultan Agung,Jl. Sultan Agung No.7,"-6.904628373394469, 107.61160213558222"
Snack And Stay,Jl. Purnawarman No.39,"-6.905237524757591, 107.60920619510209"
Spadaa Koffie,Jl. Ternate No.5,"-6.907480073152466, 107.61400496256897"
Tree House Cafe Bandung,Jl. Hasanudin No.5,"-6.894432872431451, 107.61520940859546"
Marka Coffee & Kitchen,Jl. Talaga Bodas No.32,"-6.928131395047705, 107.6214386914045"
Cafe Aldila,Jl. Hariangbanga No.5,"-6.902091744204684, 107.60896034528051"
One Eighty Coffee And Music,Jl. Ganesa No.3,"-6.893713325876686, 107.61250692208884"
J Co Sawunggaling,Jl. Sawunggaling No.1,"-6.901994767537435, 107.60994239325332"
Furdan N Shisha Cafe,Jl. Bengawan No.58,"-6.908218833960131, 107.62715047791116"
Kalazi Insight Cafe,Jl. Sumbawa,"-6.912067710299011, 107.61647857715184"
Cafe Bunda Alicia,Jl. Bagusrangin No.70/50,"-6.896322519743132, 107.61722286246281"
Badung Cafe N Resto,Jl. Dr.Cipto No.3,"-6.906442984261861, 107.59864003373345"
Bright Cafe,Jl. Ir. H. Juanda No.139,"-6.889899110729458, 107.61284749325328"
Wiki Koffie,Jl. Braga No.90,"-6.915937141526634, 107.60911952208883"
Saga Cafe & Mart,Jl. Lombok No.8,"-6.911877382785221, 107.618139162569"
Coffeeheaven,Jl. Gatot Subroto No. 57,"-6.9225213344976595, 107.62191142208886"
Elephant Rose,Jl. Rangamalela No.23,"-6.9004583709544995, 107.61074126441777"
Karavan Cafe 303,Jl. Jenderal Ahmad Yani No.303,"-6.912414683027393, 107.63543669140455"
Cafe Halaman,Jl. Tamansari No. 92,"-6.885068916343165, 107.61187257975993"
Cafe Connu,Jl. Sukajadi No. 201,"-6.879554868251414, 107.59609750859546"
Cafe Cinde,Jl. Pahlawan No.58,"-6.896154368437667, 107.63483375092439"
Gedogan Coffee & Tea,Jl. Seram No.1,"-6.908003975370686, 107.61316292208883"
Rasa Bakery & Cafe,Jl. Tamblong Dalam No.15,"-6.918773381681966, 107.61204073373345"
Cafe Tangga,Jl. Tubagus Ismail Raya No.1A,"-6.887392766134884, 107.623742137431"
Two Hands Full,Jl Ir. H. Juanda No.113,"-6.891877910484064, 107.61308357097752"
Warung Upnormal Riau,Jl. L. L. R. E. Martadinata No 114,"-6.910251078474338, 107.62608586626654"
Bakgard Cafe,Jl. Karapian No.36,"-6.925462338362161, 107.61706416441777"
Seveneight Cafe 78,Jl. Tubagus Ismail Raya No.25,"-6.884681213204885, 107.61777647791114"
The Larder At 55,Jl. Gandapura No.55,"-6.912886925729715, 107.62601742024006"
Le Delice Cafe And Bakery,Jl. Guntur No.22,"-6.9244937379029174, 107.62123646441776"
Coffee & John,Jl. Naripan No.76,"-6.9207324308605145, 107.61598066441776"
Kukumama,Jl. L. L. R. E. Martadinata No.221,"-6.914240529828109, 107.62983190859546"
Chanda.Lah Cafe And Milk Bar,Jl. Braga No.49,"-6.91833348427127, 107.60946677791114"
Picknick,Jl. Pasir Kaliki No. 176,"-6.901356024762154, 107.59787100859548"
Pawon Pitoe Cafe Lengkong,Jl. Lekong Besar No.6,"-6.923219084290165, 107.61163092208885"
Hara Cafe,Jl. Prof Dr.Sutami No.62,"-6.877786967458443, 107.58676244907561"
Ganesha Cafe,Jl. Cihaur Geulis ,"-6.902265178456016, 107.63395220674668"
Behive Cafe & Boutique Hotel,Jl. Dayang Sumbi No. 1,"-6.887548420433901, 107.61267963743101"
Cafe Riung Panyileukan,Jl. Tm. Cibeunying Selatan No.37,"-6.9050127246310655, 107.62396417791115"
Cafe More Wyata Guna,Jl. Pajajaran No.50,"-6.906208670383063, 107.60083296441776"
Cafe Asix,Jl. Talaga Bodas No. 25,"-6.927874987023473, 107.62162803558222"
Cafe 190 One Ninety Coffee Culture,Jl. Peta No.190A,"-6.931545838766877, 107.58946155092438"
Moonsoon Cafe,Jl. Dr. Djunjunan No.143-149,"-6.892838524830012, 107.58515775192902"
Eduplex Cafe,Jl. Ir. H. Juanda No.84,"-6.8964409318678515, 107.61316827975992"
Pawon Pitoe Cafe Talaga Bodas,Jl. Talaga Bodas No.48,"-6.92857569321402, 107.62237917791114"
Cudeto Cafe & Resto,Jl. Cikutra No.187,"-6.895082075224772, 107.64285235092439"
Morgy Coffee,Jl. Anggrek No. 46,"-6.911735680998785, 107.62975039140454"
Caffee Bene Dago,Jl. Ir. H. Juanda No.155,"-6.887830274765089, 107.61293854907561"
Cerise Cafe,Jl. Moh Toha No.155,"-6.942545146472075, 107.60750622024007"
The Sugarush,Jl.Braga No. 83,"-6.917154133799646, 107.60913670052584"
Cats And Ice Cream Dago,Jl.Kanayakan No.13,"-6.87768945765775, 107.61882267975993"
Ramu Indonesia,Jl. Laswi No.1J,"-6.916196381690401, 107.63064800859546"
Chiba Cafe,Jl. Semar No.1,"-6.909439279860515, 107.59693316441776"
Atmosphere Resort Cafe,Jl.Lengkong Besar No.97,"-6.926529040980193, 107.61333249140455"
Seca Semi Cafe,Jl. Jend. Sudirman No.574,"-6.917812131841461, 107.582092337431"
Allegro Cafe,Jl. Suryalaya Indah No. 26,"-6.943084445813217, 107.62292409325329"
Colada,Jl. Purwakarta No.192,"-6.917156777784359, 107.65947106441777"
18 Hrs Cafe,Jl. Dr. Setiabudi No.103,"-6.87129027517227, 107.59384969510208"
Zero Hour Coffee,Jl. Terusan Martanegara No.20,"-6.9347421790402795, 107.63597890724135"
Contou Coffee,Jl. Taman Cempaka No.6,"-6.913347480148969, 107.6268889067467"
