Nama,Alamat,Titik Koordinat
Caya Rasa Restaurant,Jl. Bkr No. 4,"-6.93611987137033, 107.6223805342031"
Saute Family Resto,Jl. Lodaya No. 23,"-6.928621989322698, 107.61980561360325"
Warung Wayangku,Jl Wayang No 12,"-6.925795847335482, 107.62051391145646"
Gyu-Gyu Japanese Bbq Restaurant,Jl Cihampelas No. 254,"-6.887199856582912, 107.60427347282977"
Hanamasa,Jl. Ir. H. Juanda No. 48,"-6.898871369171859, 107.61255811497288"
Bakso Boedjangan Cihampelas,Jl. Cihampelas No. 74,"-6.89878622461343, 107.60380410016629"
Rumah Makan Swike Jatiwangi,Jl. Gandapura No. 73A,"-6.911151107192402, 107.62653075572825"
Cuanki Dan Batagor Serayu,Jl. Serayu No. 2,"-6.908619802548994, 107.62561952504159"
Pondok Makan Ikan Cianjur,Jl. Sukajadi No. 246,"-6.876112461983812, 107.59635835572823"
Gepuk Ny. Ong,Jl. Dr. Setiabudi No. 144,"-6.874216461473228, 107.59642272874324"
Daun Pisang,Jl. Dr. Setiabudi No. 154,"-6.873236503188, 107.5958862869516"
Hb Grill Garden,Jl. Gatot Subroto No. 83,"-6.922635713807919, 107.62362701339985"
Suis Butcher Steak House Tsm,Lt. 2 Trans Studio Mall Jl. Gatot Subroto No. 289,"-6.924926022416654, 107.63661608271325"
Shan Tung Restaurant,Jl. Pasirkoja No.26,"-6.925316115564822, 107.60181449222625"
Taste Of India,Jl. Pasir Kaliki No. 44,"-6.909979060012343, 107.5979521113265"
Demir Turkish Restaurant,Jl. Gegerkalong Girang No.20,"-6.862061947158217, 107.59080139222627"
Brick & Barrel Bistro,Jl. Sersan Bajuri No 100,"-6.84672284662957, 107.5918313604662"
Nasi Goreng Aep'S,Jl. Dr. Setiabudi No. 143,"-6.868027019990298, 107.5937196358179"
Mas Yono Fried Rice,Jl. Bungur No. 41,"-6.876207569014139, 107.59354797444459"
Soto Sulung Asli Madura H. Gendut 5,Jl. Jenderal Ahmad Yani No. 296,"-6.91191699033591, 107.63288625359958"
Gebyar Soto Sulung Dan Soto Ayam,Jl. Cilaki ,"-6.9022033041983635, 107.6243031849335"
Ayam Penyet & Soto Ayam Asia,Jl. Purnawarman,"-6.9091130014797795, 107.60946053558207"
Madtari,Jl. Ranggading No. 1A,"-6.902361349681467, 107.60949209447065"
Gajuakopi,Jl. Sawunggaling No. 7,"-6.9017435867873, 107.60964229817229"
"""Sate Taichan """"Goreng"""" Bandung Taman Sari""",Jl. Tamansari No. 19A,"-6.9007809933988735, 107.6086887717014"
I'Am Geprek Bensu,Jl. Cihampelas No. 81,"-6.8982571576603195, 107.6039600446879"
Lengkawa Coffee & Eatery Bandung,Jl. Cipaganti No. 50,"-6.898560231088337, 107.60245307633228"
Paberik Kopi Upnormal Coffee Roaster,Jl. Cihampelas No. 96,"-6.899385695519246, 107.60428234288136"
Bakso Semar,Jl. Cihampelas No. 68,"-6.901537887524814, 107.604578956938"
Steakmate Bandung,Jl. Dr. Cipto No. 14,"-6.905750377310949, 107.60059855877375"
Warung Suluh Restaurant,Jl. Dr. Cipto No. 8,"-6.905878854998937, 107.60023176667686"
Chiba Warung Steak,Jl. Dr. Rum No. 16,"-6.904900959192013, 107.59899660942563"
Bornga Restaurant,Taman Boutique Building Lt.1&2 Jl. Dr. Rajiman No. 5,"-6.903601532934741, 107.59872302411193"
Sushi Sba,Jl. Dr. Rajiman No. 3,"-6.903755973115568, 107.59789690374102"
Sec Bowl Pasr Kaliki,Jl. Pasir Kaliki No. 139,"-6.904484903520967, 107.59742081162968"
Nasi Goreng Ala Cek Acong,Jl. Pandu Dalam Jl. Bengawan Sempani No. 1,"-6.905813617637587, 107.5938635319204"
The Windchime,Jl. Arjuna No. 63A,"-6.90975879811782, 107.59061537680655"
Ozt Pork Ribs Bandung,Jl. Pasir Kaliki No. 25-27,"-6.914960075357134, 107.59694069621636"
Kare Curry House,Jalan Pasir Kaliki Paskal Hyper Square A29,"-6.9152316705172865, 107.59682267902222"
Se'I Lelebo Cabang Gardujati,Jl. Gardujati No. 52,"-6.918150643018366, 107.59842462835329"
Hotin,Jl. Jend. Sudirman No. 178-180,"-6.9197642246320274, 107.59764276442603"
Royal Dynasty Restaurant,Jl. Jend. Sudirman No. 232,"-6.9193235523128465, 107.59553790090159"
Nasi Campur Bintang,Jl. Kelenteng No. 40,"-6.917486303771735, 107.59342130271237"
Ramen Bajuri Kebon Jati,Jl. Kebon Jati No. 254B,"-6.916267458495048, 107.59192831809018"
Bakmie Aloi,Jl. Kebon Jati No. 179,"-6.916491124502782, 107.59436912829977"
788 Pocha Korea Bbq,Jl. Cibadak No. 205,"-6.921193078518162, 107.5960411503207"
Kuangming Vegetarian Restaurant,Jl. Jend. Sudirman No. 245,"-6.919803818508877, 107.59555335332026"
Rm. Ayam Seruni (Ko Yu),Jl. Pagarsih No.114,"-6.922453792521845, 107.59330856866241"
Moey Resto Vegetarian,Jl. Pajagalan No. 81,"-6.9263477430430145, 107.60073335332025"
Genki Sushi Paskal 23 Hyper Square,Paskal Hyper Square. Jl. Pasir Kaliki No. 25-27,"-6.91529458901792, 107.59415978215577"
Mie Kocok Berkat,Jl. Cibadak Depan No. 234,"-6.9210918973031275, 107.59576220059668"
Nasi Campur Tjiang,Jl. Cibadak No. 252,"-6.920827453648089, 107.59477259320164"
Rm Manado Wenang,Jl. Supratman No.4,"-6.911962338263122, 107.63432855800036"
Ramu Indonesia,Jl. Laswi No.1J,"-6.916217528038134, 107.63053000158195"
Prima Rasa Kemuning,Jl. Kemuning No.20,"-6.9148282717809, 107.62802481608105"
Mie Baso Akung,Jl. Lodaya No. 123,"-6.930963953219469, 107.62506097513209"
Gang Nikmat,Jl. Cihapit No. 6,"-6.900154305087064, 107.62157833523368"
Gudeg Banda,Jl. Lombok No. 57,"-6.899485886606998, 107.62029231249646"
Ambrogio Patisserie,Jl. Banda No. 26,"-6.898924591752921, 107.6172292352337"
Takolada Cabang,Jl Kalimantan No. 12,"-6.905485597286605, 107.61497601249646"
Justus Steak House Cimanuk,Jl. Cimanuk No. 8,"-6.898030897168498, 107.62041093523369"
Dago Panyawangan ,Jl. Ir. H Juanda No.127,"-6.886101432102927, 107.61302949569152"
Warung Sangrai,Heritage The Factory Outlet Jl. L.L.R.E. Martadinata No. 63,"-6.904568780390464, 107.61682448537739"
Warung Misbar,Jl. L. L. R. E. Martadinata No. 28A,"-6.8990422483075395, 107.61638348070817"
Giggle Box Bip,Bip Lt.1 No. 39 Jl. Merdeka No. 56,"-6.8987037269828075, 107.60974184428471"
Roemah Legit,Jl. Embong No.15,"-6.905751771230729, 107.61627115079155"
Spice Affair,Jl.Sukajadi No. 186,"-6.882752309967491, 107.59685754691685"
Bisou Patisserie,Jl. Hegarmanah No. 19,"-6.879792504758451, 107.6008493476235"
"""""""Serbu"""" Grilled Chicken Restaurant""",Jl. Sukagalih No. 123,"-6.89192850430022, 107.59041085818714"
Kaligane Seafood Restaurant,Jl. Sukawarna,"-6.893765852019258, 107.58642777779379"
Nomu Nomu Korean Grill,Jl. Gudang Selatan No. 22,"-6.912139240049681, 107.62002971249645"
Kopi Toko Djawa,Jl. L.L.R.E.Martadinata No. 205,"-6.912735132337845, 107.6289972625133"
Saranghaeyo Shabu And Grill,Jl. Cendana No. 16,"-6.908236713927735, 107.62926332639118"
Warlaman,Jl. Lap. Supratman No.1,"-6.907757421152743, 107.62898437666716"
Katsunyaka,Jl. Bengawan No. 60,"-6.908057644855023, 107.62710213650809"
Samsob Suki,Jl. L.L.R.E.Martadinata No. 139,"-6.908537603018696, 107.62475855637823"
Royal Kashimura Shabu,Jl. Lombok No. 45,"-6.906886038966902, 107.61979445812415"
Burger Shot Bandung,Jl. Progo No. 34,"-6.904697258047441, 107.62017667304761"
Kopi Duro,Jl. Madura No.1A,"-6.90678552037246, 107.61941693720466"
Meysari Chinese Food & Seafood,Jl. Banda No. 32,"-6.905376260740474, 107.61685475704378"
Tulang Jambal ,Jl. Sultan Tirtayasa No. 54,"-6.904738531100151, 107.61574029919785"
Arromanis Corner Store,Jl. Wira Anggun No. 14,"-6.904014926600152, 107.61387415228938"
Subkulture,Jl. Wira Anggun No. 4C,"-6.903599535843401, 107.61394120750734"
My Kopi-O,Jl. Trunojoyo No. 19,"-6.903280836349203, 107.61311994862851"
Gudeg Yu Nap - Tirtayasa,Jl. Sultan Tirtayasa No. 16,"-6.902820177921065, 107.6131360418818"
Mad Bandung,Jl. Sultan Agung No.1,"-6.904996152675988, 107.61168479916864"
Soda Resto & Bar,The 101 Bandung Dago Jl. Ir. H. Djuanda No.3,"-6.906448683071207, 107.61035777625789"
Mc Darmo La,Jl. Sumatera No. 37,"-6.912288049890643, 107.61273019071915"
Soto Ayam Garang Asem Bangkok,Jl. Lembong,"-6.9171734382705194, 107.61114567515534"
Starbucks,Jl. Braga No. 99-101,"-6.916864566594972, 107.60906481975817"
Indische Cafe Braga,Jl. Braga No. 115,"-6.916428551277578, 107.60893218216671"
Sawo Coffee And Roastery,Jl. Braga No. 76,"-6.916673518707428, 107.60927282270801"
Luberground Braga,Jl. Lembong No.8 ,"-6.916367309401282, 107.60942570861444"
Momo Cafe,Jl. Ir. H Juanda No.33,"-6.903293112102959, 107.61041374190418"
Garden Restaurant,Jl. Asia Afrika No. 112,"-6.921276848674514, 107.61234508793068"
Golden Bell Restaurant,Jl. Karapitan No. 51,"-6.925352541010323, 107.61716154190422"
Ayam Goreng Warisan ,Jl. Tasikmalaya,"-6.914197754869879, 107.63227595835029"
Oopen Restaurant,Jl. Gatot Subroto No. 289,"-6.9240798446676655, 107.63662777258851"
Streats Restaurant,Jl. Braga No. 8,"-6.919679329827978, 107.61044262656205"
Warung Kopi Limarasa,Jl. Braga No. 36,"-6.917475636079976, 107.60939826519342"
Sari Bundo - Taman Pramuka,Jl. Taman Pramuka No. 175,"-6.909132508701573, 107.6276299112199"
Warung Timbel Cianjur,Jl. Cianjur No. 12,"-6.915603659809079, 107.63249053506107"
90 Gourmet,Jl. L.L.R.E Martadinata No. 90,"-6.907426401102871, 107.62408451861498"
Selaras Guest House & Restaurant,Jl. Tm. Cibeunying Sel. No. 45,"-6.903612188075904, 107.6240221492993"
Hdl 293 Seafood,Jl. Cilaki No. 36,"-6.904331310016124, 107.62772058793067"
Yoshinoya,Jl. Gatot Subroto No. 289,"-6.925105751232332, 107.63660032656206"
Popia Tiam,Jl. Pungkur No. 139A,"-6.927879447173685, 107.61010989587773"
Pho Teriyaki,Jl. Cilaki No. 3,"-6.906273485179278, 107.62897147700426"
Namasuki,Jl. Pelajar Pejuang 45 No. 19,"-6.925644054429637, 107.62753397258852"
Sambel Hejo ,Jl. Natuna No 29,"-6.915501417003833, 107.61621915724638"
Raacha Tsm Bandung,Cibangkong Batununggal,"-6.924192242663982, 107.63710810327282"
Great Dimsum Bandung 1,Jl. Supratman No. 49,"-6.902307289116902, 107.62741279587773"
Fortunate Coffee Bandung,Jl. Kebon Sirih No.21A,"-6.9106186155216704, 107.60579408053559"
Ayam Penyet Ria,Jl. Supratman No. 46,"-6.908403678256159, 107.63223304300814"
Buttons Eatery,Jl. Pelajar Pejuang 45 No. 72,"-6.932330267117985, 107.62532105724635"
Noodletown,Cihampelas Walk  Jl. Cihampelas No. 160,"-6.892173450053075, 107.60458225724635"
Kafe Betawi,Jl. Gatot Subroto No. 289,"-6.924790744015234, 107.63685821861499"
Restoran Sederhana Riau,Jl. L. L.R.E Artadiata No. 128,"-6.9105098118045785, 107.62712981121989"
Mozaik & Co.,Jl. Gatot Subroto No. 289,"-6.925890461236416, 107.63656123395714"
Rumah Makan Mirasa,Jl. Purnawarman No.68,"-6.902959494801575, 107.60988273395714"
Saoeng Soenda,Jl. Soekarno-Hatta No. 571,"-6.945248290272536, 107.63836782656205"
Sagoo Kitchen & Kopi Lay,Jl. Trunojoyo No. 27,"-6.901069777575832, 107.61370414985126"
Shifu Ramen Antapani,Jl. Purwakarta No. 33,"-6.914490530156478, 107.652871327114"
Damai Restaurant,Jl. Resor Pakar Karya No. 2B,"-6.865204279886062, 107.64210808053556"
The Square Restaurant @ Novotel Bandung,Jl. Cihampelas No. 23-25,"-6.9037929925946395, 107.60403130327282"
Rm. Puri Bambu,Jl. Sindang Sirna No. 14,"-6.876555048558542, 107.59375842656206"
Kepiting Chef Epi,Jl. Ciumbuleuit No. 152,"-6.866270234823153, 107.60671639532576"
Ojju Tsm Bandung ,Tsm Bandung Jl. Gatot Subroto No. 289,"-6.925576662875394, 107.63607374985126"
5 Serangkai Pork Grill Restaurant,Ruko Pusat Motor Dan Elektronik (Pme),"-6.896369060993609, 107.63302447258849"
Two Cents,Jl. Cimanuk No. 2,"-6.904315589785984, 107.62014488848263"
Omah Nano,Jl. Randu Sari Raya No 2,"-6.926326341342297, 107.66137610327283"
Toko You,Jl. Hasanudin No. 12,"-6.893985179585221, 107.61496681861499"
Sugih Priangan Restaurant,Jl. Terusan Jakarta No. 48,"-6.908148055802204, 107.65113725120304"
Wingstop Paskal Bandung,Jl. Pasir Kaliki No. 23,"-6.912445140181613, 107.59299232214236"
Bonti Restaurant,Jl. Terusan Pasirkoja No. 347,"-6.928125047772852, 107.57958659587774"
Oom Resto,Jl. Bahureksa No. 14,"-6.904399902076087, 107.614803918615"
Kantin Siantar,Jl. Raya Kopo No. 302,"-6.93970817522199, 107.59286386464146"
Waroeng Setiabudhi,Jl. Dr. Setiabudi No. 175,"-6.866480675782152, 107.5938700492993"
Murasaki,Jl. Mekar Utama No.111,"-6.953037407557319, 107.60753637998361"
Kedai Mandiri ,Jl. Gatot Subroto No. 40,"-6.922546350966582, 107.62260532656204"
Warung Lela,Jl. Kupa No. 6,"-6.8711533303974806, 107.62810630327283"
Java Bean,Rumah Mode Jl Dr. Setabudi No.41 ,"-6.881491116154847, 107.59992067258851"
By Ludwick,Jl. Budi Luhur I No. 11B,"-6.870142446816402, 107.59155447666784"
Ma'Kerang,Jl. Malabar No. 15,"-6.9202321888947615, 107.62464121096635"
Ayam Goreng Nikmat Panaitan,Jl. Panaitan No. 9,"-6.919535234838006, 107.61738557089238"
Reach Coffee 23,Jl. Panaitan No.23,"-6.918705145903019, 107.61686414474941"
Jack Runner Roastery,Jl. Panaitan No. 32,"-6.917549542529137, 107.61729866262361"
Nasi Bancakan Wassalam Abah Barna,Jl. Trunojoyo No. 62,"-6.9017923487999715, 107.61583954093153"
Temenngopi,Jl. Cimanuk No. 16,"-6.903900427896297, 107.62110326114447"
Kuma Ramen,Jl. Cimanuk No.11A,"-6.9033572244020975, 107.62108180347342"
Ayam Bebek Ranjau,Jl. Lobok No. 47,"-6.907404608066261, 107.61993594467619"
Kopi Duro,Jl. Maura No. 1A,"-6.906766881160882, 107.61938206848916"
Reunion House Grill & Bar,Jl. Dr. Setiabudi No. 45,"-6.880438262127926, 107.59940028147412"
Hachi Grill Sutami Bandung,Jl. Prof. Dr. Sutami No. 56,"-6.876880624192642, 107.58787751154199"
Mangkok Lokal,Jl. Sukahaji No. 121,"-6.86968005438634, 107.5847017762224"
B' Leaf Cafe,Jl. Dr. Setiabudi No. 191,"-6.865738867718874, 107.59311050133631"
18 Hrs Cafe,Jl. Dr. Setiabudi No. 103,"-6.870553502057939, 107.59379714703564"
Newest Ilalang Ayam Betutu,Jl. Karang Layang No. 24,"-6.880038827918856, 107.59426921564113"
Coffee Room Indonesia ,Jl. Terusan Sutami,"-6.880464890891184, 107.58258819537292"
Kampung Cerbonan,Jl. Mustang B7 No. 6,"-6.8857906458904665, 107.5779318807625"
Se'I Sapi Bubulae,Setrasari Mall Jl. Surya Sumantri,"-6.88063531614329, 107.58132219279287"
Mendjamu ,Jl. Sukaresmi No. 5,"-6.878936388179202, 107.59350241561815"
Sha-Waregna,Jl. Sindang Sirna No. 21,"-6.878013026368654, 107.59224213648909"
Doublesteak Jawa,Jl. Jawa No. 46,"-6.9154972744677305, 107.61619728053178"
Sateh Abon,Jl. Ambon No. 21,"-6.907101055491904, 107.61800960220607"
Kadaka Cafe,Jl. Patuha No. 24,"-6.926139282526207, 107.62454509085686"
Nguvi Brola,Jl. Windu No. 21,"-6.925132805287975, 107.62448608226138"
Doublesteak Talagabodas,Jl. Talaga Bodas No. 22,"-6.928194166924247, 107.62098200613688"
Ayam Goreng Suharti,Jl. Lodaya No. 1,"-6.928182185117176, 107.61966504151242"
Warung Nasi Alam Sunda,Jl. Otto Iskandar Dinata No. 267,"-6.923362145627244, 107.60393456074807"
Warung Nasi Ampera Dalem Kaum,Jl. Kepatihan No. 19-51,"-6.9223183852690955, 107.60485724060446"
Kope Tepanyaki,Jl. Cibadak No. 101,"-6.921282610550824, 107.60037526467016"
Yoshinoya Grand Yogya Kepatihan Bandung,Grand Yogya Jl. Dewi Sartika No. 18,"-6.923802814176756, 107.60598673300163"
Dapur Cemara ,Jl. Moh Toha No. 30,"-6.931035843616237, 107.606524228997"
Ramsteak Cianjur,Jl. Moch Ramdan No. 100,"-6.936775725324448, 107.6100265234435"
Waroeng Steak And Shake Bkr Bandung,Jl. Bkr No. 176,"-6.937225034695724, 107.60810203845027"
Soto Bandung M Tarya,Jl. Swah Kurung No. 16,"-6.933514724923692, 107.61127978542025"
Arunika Coffee & Bistro,Jl. Terusan Pasirkoja No. 16,"-6.9258370733200705, 107.59741678812152"
Warunk Canoli ,Jl. Sriwijaya No. 65,"-6.94310279689009, 107.61288224896944"
Caravan Eat The Ribs,Jl. Bkr No. 110,"-6.937447743488912, 107.6148463643116"
Big Burger Bkr,Jl. Bkr No. 131A,"-6.937096877267138, 107.6108358112199"
Sambal Goang - Sundanese Chicken Food,Jl. Moch Ramdan No. 46,"-6.932668728806108, 107.61267491449273"
Lalapan Sambal Petir Paskal 46,Jl. Pasir Kaliki No. 46,"-6.909481541547803, 107.59863853366939"
Yoforia Yoghurt Studio,Paris Van Java Resort Level G-B61,"-6.886986270051402, 107.59666442793022"
Kantin Rai,Cipagantijl. Moch Ramdan No. 16,"-6.931517775395842, 107.61432677465656"
Ruckerpack Coffee And Culture,Jl. Dr. Cipto No.24,"-6.904129425284988, 107.60126173454505"
Ayam Geprek Pangeran Moh Toha,Jl. Moh Toha No. 173,"-6.9434567450340845, 107.60818853963595"
Es Cendol Elizabeth Pusat,Jl. Inhoftank No. 64 Pelindung Hewan,"-6.942757828415261, 107.60284893204373"
Malatang Hotpot,Jl. Gardu Jati No. 9B,"-6.919438686194959, 107.59823093558222"
Ronde Jahe Gardujati,Jl. Gardujati No. 58,"-6.917738593036686, 107.59834349145041"
Tjiang,Jl. Kebon Jati No. 120,"-6.916013171462418, 107.59761393063377"
Bakmi Tasik Tanpa Mangkok,Jl. Gardu Jati No. 35,"-6.918870231870095, 107.59821221897886"
Bakmie Maman 3 Gardujati,Jl. Gardujati No. 52,"-6.918177935506504, 107.59838388034747"
Korean 28,Jl. Gandapura No. 71C,"-6.910966242805049, 107.62656657583354"
Rumah Sosis ,Jl. L.L.R.E. Martadinata No. 47,"-6.906188399186711, 107.61440187737637"
Yoogane Riau Junction,Riau Junction Mall Jl. L.L.R.E. Martadinata No. 17,"-6.906780859240019, 107.61241167833951"
Magic Pizza,Riau Junction Mall Gf. Jl. L.L.R.E. Martadinata No. 17-21,"-6.906823463851513, 107.61176794675961"
Fatcow,Riau Junction Mall Jl. L.L.R.E. Martadinata No. 17,"-6.90661044207388, 107.61232048195059"
Kopi Mandja,Jl. Gunung Batu No. 49,"-6.906219686742354, 107.61528754453995"
Di Ruang Tengah,Jl. L. L. R. E. Martadinata No. 51,"-6.906155780889771, 107.61518562061133"
Zoe,Jl. Dipatiukur,"-6.8968493844786805, 107.61480394473267"
Gerobak Bandung,Jl. Dipatiukur,"-6.8964712633840755, 107.61587682975671"
De.U Coffee,Jl. Dipatiukur No. 23,"-6.895789586667788, 107.61623624330392"
Cekeran Midun,Monumen Perjuangan Jl. Singa Perbangsa Jl. Dipatiukur No. 103C,"-6.895896099247413, 107.61806014577581"
Starbucks Dipati Ukur,Jl. Dipati Ukur No. 42,"-6.8958554923470015, 107.61677563237777"
Warung Bebek Sambal Mangga,Jl. Dipati Ukur No. 42,"-6.896049212499075, 107.6167930667508"
Red Dimsum,Jl. Dipati Ukur ,"-6.896168373138953, 107.61621961219349"
Otillie Coffee & Kitchen,Jl. Hasanudin No. 7,"-6.894753090573779, 107.61573962870297"
Rumah Makan Padang - Malah Dicubo,Jl. Stasiun Hall Selatan No. 27,"-6.915369379755847, 107.60284649324564"
Gedogan Braga,Jl Braga No. 63,"-6.918000866861423, 107.60932043208187"
Richeese Factory Pajajaran,Jl. Pajajaran No. 65,"-6.906657038191241, 107.59800821253887"
Starbucks Living Plaza,Jl. Pasir Kaliki No. 121-123,"-6.906081885223883, 107.59791165187136"
Rumah Makan Ampera,Jl. Kebon Kawung No. 28,"-6.91209499761849, 107.6011551194556"
Nasi Bancakan Baru,Jl. Diponegoro No. 25,"-6.900884175935181, 107.61617066200911"
Warung 87 Ria Rio,Jl. Titiran No. 25A,"-6.900964059039396, 107.61938944472513"
Sate Maranggi Ko Angga Dago,Jl. Surapati No. 59,"-6.899035538427165, 107.62088276461729"
Warung Gazeboo,Jl. Japati,"-6.8990082450940955, 107.61889927102554"
Lapo Siagian ,Jl. H. Hasan No. 19A,"-6.898153489286286, 107.61811874819006"
Kafe Kebon,Jl. Bagusrangin No. 7,"-6.897573665754761, 107.6170257480217"
Iqilo Diy,Jl. Penata Yudha No 2,"-6.898100899416162, 107.61627204720486"
Mie Merapi Dipatiukur,Jl. Dipati Ukur No. 66-116,"-6.891140270851304, 107.61746365090643"
Rumah Makan Bu Tatang,Jl. Sekeloa Tengah No. 7,"-6.8888209684150326, 107.62101084212246"
Mie Merapi Buah Batu,Jl. Buah Batu No. 172,"-6.938408594297713, 107.6242150932472"
Mie Aceh Ayah ,Jl. Buah Batu,"-6.937599120706551, 107.62323238137195"
Mie Merapi Progo,Jl. Progo No. 35,"-6.9042585732447925, 107.61995879324435"
Yagami Ramen House Ciliwung,Jl. Ciliwung No. 2,"-6.904929582329198, 107.6224371611894"
Samasama Food Collective,Jl. Progo No.34,"-6.904663973503278, 107.61997658484265"
Rumah Makan Padang Bu Mus,Jl. Cimanuk No. 9,"-6.903875795988532, 107.62041646633057"
Baker Street,Jl. Cimandiri No. 18,"-6.9038331918538836, 107.61877588978699"
Mie Merapi Pahlawan,Jl. Pahlawan No. 43,"-6.89842271867979, 107.6337915644123"
Remo Workspace & Cafe,Jl. Pahlawan No. 73,"-6.895109905989096, 107.634424563433"
Kopikitaku,Jl. Pahlawan No. 72,"-6.894149957939856, 107.63528488775398"
Nasi Telur Babak Belur,Jl Mataram No. 2,"-6.907238465838847, 107.62097768006248"
Oyster Seafood,Jl. Cimanuk No. 5A,"-6.904084823444558, 107.62024641010349"
Roasted Bar,Jl. Progo No. 34,"-6.9044655985289, 107.61984139670763"
Fuku Akiba,Jl. Progo No. 5,"-6.904496885772088, 107.61766076146891"
Monster Bite Progo ,Jl. Progo No. 1,"-6.904521516349771, 107.61736303571593"
Sate Jando Gasibu,Jl. Hayam Wuruk,"-6.903811952709037, 107.61801005138597"
Colony Corner,Jl. Sumatera No. 31,"-6.91304421792339, 107.61346575347245"
Swarga Loka Restaurant,Jl. Sumatera No. 51,"-6.908272648401739, 107.6116632938645"
Tobugi Suki & Japanese Grill,Jl. Lengkong Kecil Paledang,"-6.923017360142722, 107.61327639324446"
Coffee By Taboo,Jl. Talaga Bodas No. 53,"-6.928977644675106, 107.62534059516013"
Mantagi Minang Resto & Coffee House,Jl. Palasari No. 12,"-6.929470643598219, 107.62258370410355"
Serenity Corner,Jl. Palasari No. 34,"-6.930626217824951, 107.62229804891369"
Wkwk Coffee,Jl. Palasari No. 32,"-6.930510394245899, 107.62229268442245"
Ikan Pesmol Cianjur,Jl. Dr. Setiabudi No. 85,"-6.87493233700946, 107.59642802207591"
Raa Cha Suki Barbeque,Jl. Sukajadi No. 225,"-6.875081818039468, 107.59577796079363"
Pondok Makan Ikan Cianjur,Jl. Sukajadi No. 246,"-6.876413278751043, 107.59641097440863"
Sate Tegal Marem,Jl. Dr. Setiabudi N. 136,"-6.8747156700417955, 107.59661279663871"
Richeese Factory Flamboyant Sukajadi,Jl. Sukajadi No. 234,"-6.877786056940123, 107.59642240482634"
Sushi Tei,Flamboyant Season Building Jl. Sukawangi No. 2,"-6.878070987515173, 107.59692666076508"
Bakmi Parahyangan,Jl. Sukajadi No. 211,"-6.878415124710552, 107.59599722932825"
Kyotown Coffee,Jl. Bungur No. 37,"-6.8788991072379035, 107.59408414375947"
Mas Yono Fried Rice,Jl. Bungur No. 41,"-6.878158154379805, 107.59391583515138"
Waroeng Steak And Shake Sutami Bandung,Jl. Prof Dr. Sutami No. 23,"-6.878140845510874, 107.5919725747182"
Haloa Coffee & Eatery,Jl. Cipedes Tengah No. 198,"-6.879166728712094, 107.59059995425169"
Kedai Kopi Kulo Setiabudi,Jl. Dr. Setiabudi,"-6.872699167194401, 107.59494635892781"
Warung Nasi Khas Sunda Asli Laksana,Jl. Dr. Setiabudi,"-6.872550042662103, 107.59501609627468"
Bakso Boedjangan Setiabudhi,Jl. Dr. Setiabudi No. 170F,"-6.872154596379404, 107.59469300521378"
Suis Butcher Steak House Setiabudi,Jl. Dr. Setiabudi No. 172,"-6.872154596379404, 107.59469300521378"
Atok Rizal Jagonya Sate 2,Jl. Dr. Setiabudi No. 105-K,"-6.871206589167682, 107.59369120014281"
7 Cafe,Jl. Dr. Setiabudi No. 182,"-6.870655359256365, 107.59370997522743"
Rm. Avon Gerlong,Jl. Dr. Setiabudi No. 135,"-6.870575470940503, 107.59332172584902"
Indomie Enjoy Bandung,Jl. Dr. Setiabudi No. 139A,"-6.8701440731774746, 107.59330295004685"
Ngikan Yuk Setiabudi Bandung,Jl. Dr. Setiabudi No. 141,"-6.86993636284263, 107.59334050105711"
Nobu Ramen & Sushi,Jl. Gegerkalong Hilir No. 01,"-6.870444986738784, 107.5929998607152"
Kambing Bakar Cairo,Jl. Gegerkalong Hilir No. 25-27,"-6.870087948890829, 107.59169770133555"
Javan Steak & Pasta,Jl. Gegerkalong Hilir No. 38,"-6.869794202902067, 107.59131458579495"
Teras Java Dimsum,Jl. Gegerkalong Hilir No. 35,"-6.870423121912793, 107.59114768472946"
Papa Bear,Jl. Gegerkalong Hilir No. 74,"-6.869471677969728, 107.58901543975199"
Winner Bratwurst,Jl. Gegerkalong Hilir No. 42,"-6.869506244270618, 107.58772776861882"
Ayam Bang Dava,Jl. Gegerkalong Hilir No. 102,"-6.869506244270618, 107.58772776861882"
Ayam Geprek Pangeran Gegerkalong,Jl. Gegerkalong Hilir No. 106A,"-6.868763997259976, 107.58690822880672"
Alite Coffee 02,Kpad Jl. Gatot Raya No. 2-4,"-6.86841248665731, 107.58621990694236"
Rustic Owl Coffee,Jl. Gegerkalong Hilir No. 117,"-6.868397341080441, 107.58562814438923"
Ska Dapurlaut,Jl. Sukajadi No. 250,"-6.8682613636618415, 107.58437588823121"
Northwood,Jl. Gegerkalong Hilir No. 179,"-6.867836121915221, 107.58018124862734"
Hellikopi,Jl. Gegerkalong Hilir No. 181 A,"-6.867604444303709, 107.57995862501606"
Batagor H. Isan,Jl. Gegerkalong Hulir No. 203,"-6.867192183677578, 107.5782363118086"
Sama Dengan Cipaganti,Jl.Cipaganti No. 150-152,"-6.886748310496796, 107.60228185821167"
Hi Brew!,Jl. Boscha No. 43,"-6.88799548538298, 107.60145753865112"
Warung De Harmony,Jl. Ciumbuleuit No. 59,"-6.881520726373762, 107.60404452742061"
Meokja Korean Bbq,Jl. Ciumbuleuit No. 63,"-6.881464805815365, 107.60396942551016"
