Jenis Usaha,Nama,Alamat,Titik Koordinat
Outlet,Vessel Store,Jl. Trunojoyo No. 23,"-6.902742031894454, 107.61336197792414"
Outlet,Gudang Garment Jl. Jakarta,Jl. Jakarta No.8,"-6.91438572944012, 107.63520305005038"
Outlet,Gudang Garment,Jl. A.H. Nasution No. 76,"-6.906605074726724, 107.68472102006304"
Outlet,Tc7 Store,Jl. Taman Cemp. No.7,"-6.9130207868256335, 107.62744989306988"
Outlet,Happy Go Lucky,Jl. Ciliwung No. 14,"-6.90567882375141, 107.62593099015047"
Outlet,Gudang Garment Toha,Jl. Moh. Toha No. 106,"-6.971742343837079, 107.61960208551908"
Outlet,King Kong Jeans,Jl. Cihampelas No. 166A,"-6.894632004165648, 107.60412478177876"
Outlet,Rabbani,Jl. Dipatiukur No. 44,"-6.895818214015603, 107.61694394065174"
Outlet,Alisha Fancy Shop,Jl. Salendro Utara No. 27,"-6.936511873128551, 107.63428053515011"
Outlet,Crocs,Jl. L. L  R. R. Martadinata No. 32,"-6.903002687983072, 107.61621794145405"
Outlet,Ns Factory Outlet,Jl. Dewi Sartika No. 65,"-6.924286488826419, 107.60615434667045"
Outlet,Stop N Shop Factory Outlet,Jl. Insinyur H. Juanda No. 152,"-6.903005412818931, 107.61029022630491"
Outlet,Shafira Buah Batu,Jl. Buah Batu No. 165 B,"-6.939793058374583, 107.62586564773416"
Outlet,Mr Bean Factory Outlet,Jl. L. L. R. E. Martadinata No. 57,"-6.905261017213382, 107.6158859264125"
Outlet,Cisangkuy Factory Outlet,Jl. Cisangkuy No. 58,"-6.901020930119488, 107.62185007160437"
Outlet,Jetset Factory Outlet,Jl. Ir. H. Juanda No. 116,"-6.890029154120969, 107.61352418187494"
Outlet,Calamus Factory Outlet,Jl. L. L. R. E. Martadinata No. 81,"-6.904687710406517, 107.62275614866572"
Outlet,Toko Dapur Bunda - Factory Outlet,Jl. Lodaya No. 55,"-6.928306331488237, 107.6211102060817"
Outlet,Sport Station Trunojoyo,Jl. Trunojoyo No.7,"-6.905101379773093, 107.61331287974103"
Outlet,Jokowow Factory Outlet,Jl. Cihampelas No. 174,"-6.8778825618941815, 107.59653232116887"
Outlet,Grande Fashion & Gallery,Jl. Cihampelas No.186,"-6.892269287722978, 107.60405740746455"
Outlet,Cherry Factory Outlet,Jl. Gegerkaloohilir No. 18,"-6.869472895818815, 107.59261891349128"
